ID,ISDELETED,NAME,CURRENCYISOCODE,CREATEDDATE,CREATEDBYID,LASTMODIFIEDDATE,LASTMODIFIEDBYID,SYSTEMMODSTAMP,PROGRAMME__C,ORDER__C,PRODUCT__C,EXEMPTION_REASONS__C,EXEMPTIONS_ALLOWED__C,MODULE_NAME__C,NUMBER_OF_RESITS_ALLOWED__C
a3wb0000000c67NAAQ,FALSE,MOD-002224,GBP,1472553600000,005b0000000L061AAC,1472553600000,005b0000000L061AAC,1473441316000,a3zb0000000gxJaAAI,30,01tb0000006Fec0AAC,,FALSE,<a href=""/a3wb0000000c67N"" target=""_top"">ICA Certificate in Ethics Leadership for Senior Managers - Online Exam</a>,3
a3wb0000000c6HKAAY,FALSE,MOD-002226,GBP,1473345517000,005b0000000L061AAC,1473345517000,005b0000000L061AAC,1473345517000,a3zb0000000gzQoAAI,20,01tb0000006F8CZAA0,,FALSE,<a href=""/a3wb0000000c6HK"" target=""_top"">ICA Intl Diploma in Governance Risk &amp; Compliance Online - Virtual Classroom 1</a>,3
a3wb0000000c6HPAAY,FALSE,MOD-002227,GBP,1473345525000,005b0000000L061AAC,1473345525000,005b0000000L061AAC,1473345525000,a3zb0000000gzQoAAI,30,01tb0000006F8CeAAK,,FALSE,<a href=""/a3wb0000000c6HP"" target=""_top"">ICA Intl Diploma in Governance Risk &amp; Compliance Online - Virtual Classroom 2</a>,3
a3wb0000000c6HUAAY,FALSE,MOD-002228,GBP,1473345536000,005b0000000L061AAC,1473345536000,005b0000000L061AAC,1473345536000,a3zb0000000gzQoAAI,50,01tb0000006F8CjAAK,,FALSE,<a href=""/a3wb0000000c6HU"" target=""_top"">ICA Intl Diploma in Governance Risk &amp; Compliance Online - Virtual Classroom 3</a>,3
a3wb0000000c6HZAAY,FALSE,MOD-002229,GBP,1473345546000,005b0000000L061AAC,1473345546000,005b0000000L061AAC,1473345546000,a3zb0000000gzQoAAI,70,01tb0000006F8CoAAK,,FALSE,<a href=""/a3wb0000000c6HZ"" target=""_top"">ICA Intl Diploma in Governance Risk &amp; Compliance Online - Virtual Classroom 4</a>,3
a3wb0000000c6HeAAI,FALSE,MOD-002230,GBP,1473345558000,005b0000000L061AAC,1473345558000,005b0000000L061AAC,1473345558000,a3zb0000000gzQoAAI,80,01tb0000004MzysAAC,,FALSE,"<a href=""/a3wb0000000c6He"" target=""_top"">ICA International Diploma in Governance, Risk and Compliance - Exam</a>",3
a3wb0000000c6HjAAI,FALSE,MOD-002231,GBP,1473345591000,005b0000000L061AAC,1473345591000,005b0000000L061AAC,1473345591000,a3zb0000000gzQoAAI,60,01tb0000004Mzz4AAC,,FALSE,"<a href=""/a3wb0000000c6Hj"" target=""_top"">ICA Int&#39;l Diploma in Governance, Risk and Compliance - Assignment Two</a>",3
a3wb0000000c6HoAAI,FALSE,MOD-002232,GBP,1473345610000,005b0000000L061AAC,1473345610000,005b0000000L061AAC,1473441316000,a3zb0000000gzQoAAI,40,01tb0000004Nis5AAC,,FALSE,"<a href=""/a3wb0000000c6Ho"" target=""_top"">ICA International Diploma in Governance, Risk and Compliance - Assignment One</a>",3
a3wb0000000c6I3AAI,FALSE,MOD-002233,GBP,1473411100000,005b0000000L061AAC,1473412718000,005b0000000L061AAC,1473513901000,a3zb0000000gzbIAAQ,20,01tb0000006FkbQAAS,,FALSE,<a href=""/a3wb0000000c6I3"" target=""_top"">ICA Advanced Certificate in Business Compliance - Virtual Classroom 1</a>,3
a3wb0000000c6I8AAI,FALSE,MOD-002234,GBP,1473411113000,005b0000000L061AAC,1473412750000,005b0000000L061AAC,1473513901000,a3zb0000000gzbIAAQ,30,01tb0000006FkbVAAS,,FALSE,<a href=""/a3wb0000000c6I8"" target=""_top"">ICA Advanced Certificate in Business Compliance - Assignment One</a>,3
