ID,OWNERID,ISDELETED,NAME,CURRENCYISOCODE,CREATEDDATE,CREATEDBYID,LASTMODIFIEDDATE,LASTMODIFIEDBYID,SYSTEMMODSTAMP,LASTACTIVITYDATE,LASTVIEWEDDATE,LASTREFERENCEDDATE,BRAND__C,BRAND_TEXT__C,NO_OF_PROGRAMME_PASSES_REQUIRED__C
a410X000000tBOGQA2,005b0000000L1KUAA0,FALSE,CIPFA-NI,GBP,1512398275000,005b0000000L1KUAA0,1512398275000,005b0000000L1KUAA0,1517625298000,,,,a39b0000000HoE0AAK,Bond Solon,10
a410X000000tToiQAE,005b0000000L1KUAA0,FALSE,Chambers Administration,GBP,1550481188000,005b0000000L1KUAA0,1550481188000,005b0000000L1KUAA0,1550481188000,,,,a39b0000000blRXAAY,Central Law Training,1
a410X000000wnOcQAI,005b0000000L1KUAA0,FALSE,ICA Advanced Certificate in Regulatory Compliance,GBP,1526633442000,005b0000000L1KUAA0,1526633442000,005b0000000L1KUAA0,1526693602000,,,,a39b00000008hMSAAY,ICT,1
a410X000000wnOmQAI,005b0000000L1KUAA0,FALSE,ICA Diploma in Regulatory Compliance,GBP,1526639365000,005b0000000L1KUAA0,1526639365000,005b0000000L1KUAA0,1526952824000,,,,a39b00000008hMSAAY,ICT,1
a410X000000wnlCQAQ,005b0000000L1KUAA0,FALSE,ICA Advanced Certificate in Managing Sanctions Risk,GBP,1537263381000,005b0000000L1KUAA0,1537263381000,005b0000000L1KUAA0,1537263381000,,,,a39b00000008igkAAA,La Touche Training,1
a410X000001EQstQAG,0050X000008uoG9QAI,FALSE,ICA Advanced Certificate in Business Compliance,GBP,1573731738000,0050X000008uoG9QAI,1573731738000,0050X000008uoG9QAI,1573731738000,,,,a390X00000017pRQAQ,ICTA Malaysia,1
a410X000001ERJRQA4,0050X000008U8PoQAK,FALSE,ICA Specialist Certificate in Money Laundering Risk in Gaming & Betting,GBP,1581696586000,0050X000008U8PoQAK,1585750396000,0050X000008U8PoQAK,1585750396000,,,,a39b00000008igkAAA,La Touche Training,1
a41b00000009d10AAA,005b0000000L061AAC,FALSE,Advanced Certification in AML and Counter Financing of Terrorism,GBP,1480066654000,005b0000000L061AAC,1480066654000,005b0000000L061AAC,1528248833000,,,,a39b0000000Tdo9AAC,ICTA,1
a41b00000009fnjAAA,005b0000000L061AAC,FALSE,ICA Advanced Certification in Practical Customer Due Diligence,GBP,1484040000000,005b0000000L061AAC,1484040001000,005b0000000L061AAC,1484040001000,,,,a39b0000000HlhtAAC,ICT North America,1
a41b00000009iZHAAY,005b0000000L061AAC,FALSE,ICA Advanced Certificate in Managing Sanctions Risk,GBP,1488292028000,005b0000000L061AAC,1488292028000,005b0000000L061AAC,1522200837000,,,,a39b00000008hMSAAY,ICT,1
a41b00000009kAbAAI,005b0000000L061AAC,FALSE,Certified Programme in Investigation Skills for Regulatory Officers,GBP,1490197185000,005b0000000L061AAC,1490197185000,005b0000000L061AAC,1519785214000,,,,a39b00000008igkAAA,La Touche Training,1
a41b0000000JcgNAAS,005b0000005tEONAA2,FALSE,ICA Certificate.,GBP,1506419105000,005b0000005tEONAA2,1506419106000,005b0000005tEONAA2,1520006969000,,,,a39b0000000Tdo4AAC,ICT Middle East,9
a41b0000000PJMoAAO,005b00000024A7xAAE,FALSE,ICT-Deutsche bank,GBP,1449158771000,005b00000024A7xAAE,1449158771000,005b00000024A7xAAE,1516296440000,,,,a39b00000008hMSAAY,ICT,1
a41b0000000PJMsAAO,005b00000024A7xAAE,FALSE,ICT-International Certificate In AMLA (Private In House),GBP,1449158771000,005b00000024A7xAAE,1449158771000,005b00000024A7xAAE,1518834807000,,,,a39b00000008hMSAAY,ICT,1
a41b0000000PJMyAAO,005b00000024A7xAAE,FALSE,ICA International Diploma in Financial Crime Prevention,GBP,1449158771000,005b00000024A7xAAE,1453970630000,005b0000000L061AAC,1527261328000,,,,a39b00000008hMSAAY,ICT,1
