ID,ISOCODE,STARTDATE,NEXTSTARTDATE,CONVERSIONRATE,CREATEDDATE,CREATEDBYID,LASTMODIFIEDDATE,LASTMODIFIEDBYID,SYSTEMMODSTAMP
04wb0000000LAoPAAW,EUR,2017-02-01,2017-03-01,1.1646,1485947171000,005b0000000L061AAC,1485947171000,005b0000000L061AAC,1488379949000
04wb0000000LAoRAAW,MYR,2017-02-01,2017-03-01,5.5763,1485947172000,005b0000000L061AAC,1485947172000,005b0000000L061AAC,1488379950000
04wb0000000LBKIAA4,AED,2017-03-01,2017-04-01,4.56375,1488379948000,005b0000000L061AAC,1488379948000,005b0000000L061AAC,1491214876000
04wb0000000LCgOAAW,HKD,2017-04-01,2017-05-01,9.7198,1491214878000,005b0000000L061AAC,1491214878000,005b0000000L061AAC,1493734686000
04wb0000000LLCUAA4,AUD,2017-05-01,2017-06-01,1.7297,1493734685000,005b0000000L061AAC,1493734685000,005b0000000L061AAC,1496329763000
04wb0000000QdjOAAS,HKD,2017-12-01,2018-01-01,10.5679,1512123395000,005b0000000L061AAC,1512123395000,005b0000000L061AAC,1514890064000
04wb0000000QdjRAAS,USD,2017-12-01,2018-01-01,1.353,1512123397000,005b0000000L061AAC,1512123397000,005b0000000L061AAC,1514890065000
04wb0000000XiEYAA0,HKD,2016-07-01,2016-08-01,10.4181,1467364258000,005b0000000L061AAC,1467364258000,005b0000000L061AAC,1470044679000
04wb0000000XjE5AAK,HKD,2016-08-01,2016-09-01,10.2955,1470044679000,005b0000000L061AAC,1470044679000,005b0000000L061AAC,1472747125000
04wb0000000XjE8AAK,USD,2016-08-01,2016-09-01,1.3267,1470044680000,005b0000000L061AAC,1470044680000,005b0000000L061AAC,1472747126000
04wb0000000XjnEAAS,EUR,2016-09-01,2016-10-01,1.1765,1472747125000,005b0000000L061AAC,1472747125000,005b0000000L061AAC,1475512015000
04wb0000000fzlDAAQ,EUR,2016-05-01,2016-06-01,1.2791,1462268994000,005b0000000L061AAC,1462268994000,005b0000000L061AAC,1464796691000
04wb0000000fzlFAAQ,MYR,2016-05-01,2016-06-01,5.723,1462268995000,005b0000000L061AAC,1462268995000,005b0000000L061AAC,1464796691000
04wb0000000g0uDAAQ,AED,2016-06-01,2016-07-01,5.3643,1464796690000,005b0000000L061AAC,1464796690000,005b0000000L061AAC,1467364257000
04wb0000000g0uGAAQ,EUR,2016-06-01,2016-07-01,1.3077,1464796691000,005b0000000L061AAC,1464796691000,005b0000000L061AAC,1467364258000
04wb0000000g0uIAAQ,MYR,2016-06-01,2016-07-01,6.0069,1464796691000,005b0000000L061AAC,1464796691000,005b0000000L061AAC,1467364259000
04wb0000000kAEVAA2,AUD,2016-03-01,2016-04-01,1.9508,1457086156000,005b0000000L061AAC,1457086156000,005b0000000L061AAC,1459711329000
04wb0000000kAEbAAM,USD,2016-03-01,2016-04-01,1.3929,1457086158000,005b0000000L061AAC,1457086158000,005b0000000L061AAC,1459711330000
04wb0000000kB0EAAU,AED,2016-04-01,2016-05-01,5.27578,1459711328000,005b0000000L061AAC,1459711328000,005b0000000L061AAC,1462268993000
04wb0000000fzlBAAQ,AUD,2016-05-01,2016-06-01,1.9193,1462268993000,005b0000000L061AAC,1462268993000,005b0000000L061AAC,1464796690000
04wb0000000g0uJAAQ,SGD,2016-06-01,2016-07-01,2.0036,1464796692000,005b0000000L061AAC,1464796692000,005b0000000L061AAC,1467364259000
04wb0000000LANgAAO,SGD,2017-01-01,2017-02-01,1.7778,1483607064000,005b0000000L061AAC,1483607064000,005b0000000L061AAC,1485947172000
04wb0000000LBKLAA4,EUR,2017-03-01,2017-04-01,1.1713,1488379949000,005b0000000L061AAC,1488379949000,005b0000000L061AAC,1491214878000
