ID,ISDELETED,NAME,CURRENCYISOCODE,CREATEDDATE,CREATEDBYID,LASTMODIFIEDDATE,LASTMODIFIEDBYID,SYSTEMMODSTAMP,LASTACTIVITYDATE,CONTACT__C,LA1__C,FEE__C
a420X000000OhOyQAK,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050810000,005b0000000L1KUAA0,1571050810000,,0030X00002gW30uQAC,a3Qb00000008ULuEAM,0
a420X000000OhOzQAK,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050815000,005b0000000L1KUAA0,1571050815000,,0030X00002gW30vQAC,a3Qb00000008ULuEAM,0
a420X000000OhP0QAK,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050861000,005b0000000L1KUAA0,1571050861000,,0030X00002gW30wQAC,a3Qb00000008ULuEAM,0
a420X000000OhP1QAK,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050815000,005b0000000L1KUAA0,1571050815000,,0030X00002gW30xQAC,a3Qb00000008ULuEAM,0
a420X000000OhP2QAK,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050810000,005b0000000L1KUAA0,1571050810000,,0030X00002gW30yQAC,a3Qb00000008ULuEAM,0
a420X000000OhP3QAK,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050804000,005b0000000L1KUAA0,1571050804000,,0030X00002gW30zQAC,a3Qb00000008ULuEAM,0
a420X000000OhP4QAK,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050815000,005b0000000L1KUAA0,1571050815000,,0030X00002gW310QAC,a3Qb00000008ULuEAM,0
a420X000000OhP5QAK,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050861000,005b0000000L1KUAA0,1571050861000,,0030X00002gW311QAC,a3Qb00000008ULuEAM,0
a420X000000OhP6QAK,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050815000,005b0000000L1KUAA0,1571050815000,,0030X00002gW312QAC,a3Qb00000008ULuEAM,0
a420X000000OhP7QAK,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050804000,005b0000000L1KUAA0,1571050804000,,0030X00002gW313QAC,a3Qb00000008ULuEAM,0
a420X000000OhP8QAK,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050831000,005b0000000L1KUAA0,1571050831000,,0030X00002gW314QAC,a3Qb00000008ULuEAM,0
a420X000000OhP9QAK,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050815000,005b0000000L1KUAA0,1571050815000,,0030X00002gW315QAC,a3Qb00000008ULuEAM,0
a420X000000OhPAQA0,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050866000,005b0000000L1KUAA0,1571050866000,,0030X00002gW316QAC,a3Qb00000008ULuEAM,0
a420X000000OhPBQA0,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050856000,005b0000000L1KUAA0,1571050857000,,0030X00002gW317QAC,a3Qb00000008ULuEAM,0
a420X000000OhPCQA0,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050810000,005b0000000L1KUAA0,1571050810000,,0030X00002gW318QAC,a3Qb00000008ULuEAM,0
a420X000000OhPEQA0,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050810000,005b0000000L1KUAA0,1571050810000,,0030X00002gW31aQAC,a3Qb00000008ULuEAM,0
a420X000000OhPFQA0,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050810000,005b0000000L1KUAA0,1571050810000,,0030X00002gW31AQAS,a3Qb00000008ULuEAM,0
a420X000000OhPHQA0,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050815000,005b0000000L1KUAA0,1571050815000,,0030X00002gW31BQAS,a3Qb00000008ULuEAM,0
a420X000000OhPIQA0,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050831000,005b0000000L1KUAA0,1571050831000,,0030X00002gW31cQAC,a3Qb00000008ULuEAM,0
a420X000000OhPJQA0,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050810000,005b0000000L1KUAA0,1571050810000,,0030X00002gW31CQAS,a3Qb00000008ULuEAM,0
a420X000000OhPKQA0,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050810000,005b0000000L1KUAA0,1571050810000,,0030X00002gW31dQAC,a3Qb00000008ULuEAM,0
a420X000000OhPLQA0,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050804000,005b0000000L1KUAA0,1571050804000,,0030X00002gW31DQAS,a3Qb00000008ULuEAM,0
a420X000000OhPMQA0,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050820000,005b0000000L1KUAA0,1571050820000,,0030X00002gW31eQAC,a3Qb00000008ULuEAM,0
a420X000000OhPNQA0,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050798000,005b0000000L1KUAA0,1571050798000,,0030X00002gW31EQAS,a3Qb00000008ULuEAM,0
a420X000000OhPOQA0,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050810000,005b0000000L1KUAA0,1571050810000,,0030X00002gW31fQAC,a3Qb00000008ULuEAM,0
a420X000000OhPPQA0,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050810000,005b0000000L1KUAA0,1571050810000,,0030X00002gW31FQAS,a3Qb00000008ULuEAM,0
a420X000000OhPQQA0,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050815000,005b0000000L1KUAA0,1571050815000,,0030X00002gW31gQAC,a3Qb00000008ULuEAM,0
a420X000000OhPRQA0,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050804000,005b0000000L1KUAA0,1571050804000,,0030X00002gW31GQAS,a3Qb00000008ULuEAM,0
a420X000000OhPSQA0,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050866000,005b0000000L1KUAA0,1571050866000,,0030X00002gW31hQAC,a3Qb00000008ULuEAM,0
a420X000000OhPTQA0,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050804000,005b0000000L1KUAA0,1571050804000,,0030X00002gW31HQAS,a3Qb00000008ULuEAM,0
a420X000000OhPUQA0,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050861000,005b0000000L1KUAA0,1571050861000,,0030X00002gW31iQAC,a3Qb00000008ULuEAM,0
a420X000000OhPVQA0,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050783000,005b0000000L1KUAA0,1571050784000,,0030X00002gW31IQAS,a3Qb00000008ULuEAM,0
a420X000000OhPWQA0,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050798000,005b0000000L1KUAA0,1571050798000,,0030X00002gW31jQAC,a3Qb00000008ULuEAM,0
a420X000000OhPXQA0,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050846000,005b0000000L1KUAA0,1571050847000,,0030X00002gW31JQAS,a3Qb00000008ULuEAM,0
a420X000000OhPYQA0,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050810000,005b0000000L1KUAA0,1571050810000,,0030X00002gW31kQAC,a3Qb00000008ULuEAM,0
a420X000000OhPZQA0,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050815000,005b0000000L1KUAA0,1571050815000,,0030X00002gW31KQAS,a3Qb00000008ULuEAM,0
a420X000000OhPaQAK,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050810000,005b0000000L1KUAA0,1571050810000,,0030X00002gW31lQAC,a3Qb00000008ULuEAM,0
a420X000000OhPbQAK,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050810000,005b0000000L1KUAA0,1571050810000,,0030X00002gW31LQAS,a3Qb00000008ULuEAM,0
a420X000000OhPcQAK,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050815000,005b0000000L1KUAA0,1571050815000,,0030X00002gW31mQAC,a3Qb00000008ULuEAM,0
a420X000000OhPdQAK,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050815000,005b0000000L1KUAA0,1571050815000,,0030X00002gW31MQAS,a3Qb00000008ULuEAM,0
a420X000000OhPeQAK,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050810000,005b0000000L1KUAA0,1571050810000,,0030X00002gW31nQAC,a3Qb00000008ULuEAM,0
a420X000000OhPfQAK,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050810000,005b0000000L1KUAA0,1571050810000,,0030X00002gW31NQAS,a3Qb00000008ULuEAM,0
a420X000000OhPgQAK,FALSE,FRA Speaker,GBP,1571048323000,005b0000000L1KUAA0,1571050815000,005b0000000L1KUAA0,1571050815000,,0030X00002gW31oQAC,a3Qb00000008ULuEAM,0
